CLEARANCE_DISPLAY_ID,Item_Number
34551083,130915147
34551088,130915177
34551089,130915156
34551092,130915174
34551094,131018718
34551095,131154034
34551100,131154368
34551102,131178871
34551103,131178881
34551108,131178895
34551109,131178869
34551115,131178882
34551118,131213781
34551119,131254119
34551126,131274066
34551128,131285269
34551129,131285259
34551130,131354526
34551136,131354511
34561278,128842081
34561279,128860357
34561290,128863162
34561291,128879323
34561555,128928999
34561560,128939495
34561561,128945887
34561589,128946024
34561594,128945995
34561595,128947789
34561600,128969298
34561606,128970664
34561607,128993828
34561614,128994923
34561615,129001595
34561627,129002902
34561640,129002898
34561641,129055494
34561645,129079561
34562098,129104456
34562099,129105739
34562108,129107867
34562280,129107884
34562281,129120678
34562354,129120688
34562355,129120694
34562359,129123844
34562372,129258951
34562373,129260803
34562385,129303764
34562392,129303743
34562393,129303776
34562394,129303818
34562402,129303820
34562403,129448912
34562404,129594335
34562420,130303719
34562421,130344024
34562422,130294602
34563087,122839524
34563090,122951563
34563094,122951569
34563095,122975091
34563098,123058671
34563099,123118702
34563103,123148367
34563104,123148943
34563105,123148973
34563107,123374842
34563108,123374841
34563109,123473493
34563110,123523410
34563112,124183442
34563113,124438386
34563114,124499057
34563115,124584704
34563117,124584714
34563118,124584713
34563119,124584720
34563121,124584719
34563122,124595516
34563123,124763447
34563124,124783513
34563126,124819312
34563127,124808606
34563128,124808609
34563129,124953764
34563131,125053844
34563182,125153564
34563183,125408581
34563187,125428493
34563188,125478914
34563189,125518981
34563206,125518937
34563216,125533456
34563217,125574180
34563230,125629404
34563244,125630442
34551081,129325186
34551084,129325814
34551085,129408942
34551097,129458714
34551104,129568717
34551105,129578712
34551110,129633727
34551120,129738728
34551121,129748760
34551122,129748752
34551123,130038728
34551125,130053724
34551132,130244827
34551133,130248827
34551139,130274067
34551142,130274106
34551143,130284138
34551148,130284135
34551152,130289034
34551153,130294055
34551158,130294827
34552117,128163765
34552118,128268615
34552119,128309030
34552124,128363830
34552125,128363831
34552130,128383698
34552131,128369314
34552136,128429157
34552137,128483799
34552142,128503712
34552143,128503718
34552146,128513609
34552147,128794281
34552152,128796158
34552153,128796151
34552158,128797689
34552159,128797690
34552160,128798566
34552015,121998793
34552022,121998776
34552023,123111876
34552028,123114793
34552029,123165111
34552034,123165120
34552035,123165108
34552038,123665056
34552039,123665128
34552042,123665132
34552043,123665115
34552044,123665077
34552045,123868539
34552048,123868560
34552049,124178514
34552054,124213902
34552055,124215292
34552060,124538378
34552072,124597192
34552073,124597176
34552074,124678686
34552080,124678685
34552081,124828614
34552086,124828559
34552087,124828623
34552093,124828648
34552100,124828542
34552101,124828581
34552106,124828627
34552108,124828545
34552109,124828553
34552114,124828616
34552122,125073558
34552123,125073551
34552128,125073562
34552129,125073557
34552133,125073546
34552138,125088484
34552139,125223515
34552994,124225483
34552995,124225490
34553000,124225482
34553006,124503619
34553007,124596976
34553012,124596985
34553013,124708479
34553017,124738650
34553018,124738647
34553019,124773673
34553027,124918439
34553034,125068837
34553035,125078446
34553040,125018840
34553046,125154426
34553047,125359629
34553054,125388437
34553055,125388461
34553059,125388493
34553064,125419780
34553065,125419777
34553071,125595155
34553074,125629088
34553075,125644970
34553080,125644974
34553150,125647163
34553151,125658982
34553154,125658985
34553155,125658984
34553161,125718775
34553162,125750770
34553163,125759035
34553165,125784139
34553170,125784135
34553171,125784146
34553174,125784131
34553178,125788689
34553179,125788690
34553184,125803633
34554192,128801595
34554193,128801594
34554196,128806570
34554197,128809215
34554201,128814209
34554204,128823825
34554205,128841277
34554208,128841278
34554212,128845284
34554213,128869475
34554216,128873654
34554220,128871267
34554221,128881523
34554226,128909992
34554227,128909994
34554231,128910160
34554244,128910164
34554245,128910157
34554250,128910162
34554252,128911610
34554253,128911613
34554258,128934274
34554262,128934510
34554263,128940001
34554270,128939997
34554271,128939999
34554281,128948226
34554296,128948224
34554297,128979392
34554303,128993610
34554306,128993612
34554307,128998745
34554312,128998744
34554340,129055345
34554341,129107044
34554348,129107043
34554349,129107040
34554355,129108649
34554360,129119909
34554379,129029485
34554384,129029487
34554392,129029489
34554393,129029494
34554394,129048661
34554395,129048665
34554401,129053691
34554406,129053689
34554407,129053682
34554413,129054800
34554422,129055952
34554423,129059043
34554428,129059046
34554436,129059058
34554437,129059042
34554438,129059050
34554439,129059036
34554447,129083660
34554448,129099174
34554449,129103865
34554455,129107873
34554462,129107895
34554463,129107300
34553273,130043724
34553278,130650001
34553279,130650008
34553284,131558895
34553285,110428485
34553290,115988842
34553291,116578425
34553296,117705670
34553297,117705695
34553300,117705698
34553301,119525810
34553306,120748350
34553307,120748349
34553312,121329175
34553313,121933737
34553318,122198598
34555646,127009340
34555647,127009326
34555654,127009320
34555655,130379082
34555660,130379079
34555661,130383864
34555666,130384089
34555667,130384202
34555678,130384197
34555679,130393720
34555684,130393748
34555685,130393750
34555690,130393714
34555691,130394156
34555700,130394155
34555701,130394402
34555708,130394129
34555709,130414848
34555716,130419438
34555717,130420231
34555720,130428889
34555726,130498907
34555727,130499928
34555732,130499927
34555738,130520110
34555739,130520109
34555742,130520695
34555743,130520702
34555755,130528743
34555756,130528739
34555757,130545463
34555766,130545467
34555774,130548715
34555775,130563784
34555780,130563782
34555786,130579653
34555787,130579643
34555788,130581402
34555789,130582087
34546450,128841275
34546461,128910161
34551806,131682679
34551811,132195959
34551826,132236569
34551838,132307528
34551851,132360467
34551864,132454581
34551878,132604862
34551889,132762175
34551902,132769025
34551914,132811230
34551933,132971518
34551964,125716340
