Item_Number,Zone,Pcid
100001309,102,36030210
100001309,103,36030211
100001309,104,36030212
100001309,105,36030213
100001309,106,36030214
100001309,107,36030215
100001309,108,36030216
100001309,109,36030217
100001309,110,36030218
100001309,111,36030219
100001309,112,36030220
100001309,113,36030221
100001309,114,36030222
100001309,99,36030207
100001310,100,36030224
100001310,101,36030225
100001310,102,36030226
100001310,103,36030227
100001310,104,36030228
100001310,105,36030229
100001310,106,36030230
100001310,107,36030231
100001310,108,36030232
100001310,109,36030233
100001310,110,36030234
100001310,111,36030235
100001310,112,36030236
100001310,113,36030237
100001310,114,36030238
100001310,99,36030223
100001311,100,36030272
100001311,101,36030273
100001311,102,36030274
100001311,103,36030275
100001311,104,36030276
100001311,105,36030277
100001311,106,36030278
100001311,107,36030279
100001311,108,36030280
100001311,109,36030281
100001311,110,36030282
100001311,111,36030283
100001311,112,36030284
100001311,113,36030285
100001311,114,36030286
100001311,99,36030271
100001313,100,36030288
100001313,101,36030289
100001313,102,36030290
100001313,103,36030291
100001313,104,36030292
100001313,105,36030293
100001313,106,36030294
100001313,107,36030295
100001313,108,36030296
100001313,109,36030297
100001313,110,36030298
100001313,111,36030299
100001313,112,36030300
100001313,113,36030301
100001313,114,36030302
100001313,99,36030287
100001387,100,36030384
100001387,101,36030385
100001387,102,36030386
100001387,103,36030387
100001387,104,36030388
100001387,105,36030389
100001387,106,36030390
100001387,107,36030391
100001387,108,36030392
100001387,109,36030393
100001387,110,36030394
100001387,111,36030395
100001387,112,36030396
100001387,113,36030397
100001387,114,36030398
100001387,99,36030383
100001397,100,36030432
100001397,101,36030433
100001397,102,36030434
100001397,103,36030435
100001397,104,36030436
100001397,105,36030437
100001397,106,36030438
100001397,107,36030439
100001397,108,36030440
100001397,109,36030441
100001397,110,36030442
100001397,111,36030443
100001397,112,36030444
100001397,113,36030445
100001397,114,36030446
100001397,99,36030431
100001446,100,36030528
100001446,101,36030529
100001446,102,36030530
100001446,103,36030531
100001446,104,36030532
100001446,105,36030533
100001446,106,36030534
100001446,107,36030535
100001446,108,36030536
100001446,109,36030537
100001446,110,36030538
100001446,111,36030539
100001446,112,36030540
100001446,113,36030541
100001446,114,36030542
100001446,99,36030527
100001464,100,36030576
100001464,101,36030577
100001464,102,36030578
100001464,103,36030579
100001464,104,36030580
100001464,105,36030581
100001464,106,36030582
100001464,107,36030583
100001464,108,36030584
100001464,109,36030585
100001464,110,36030586
100001464,111,36030587
100001464,112,36030588
100001464,113,36030589
100001464,114,36030590
100001464,99,36030575
100001526,100,36030800
100001526,101,36030801
100001526,102,36030802
100001526,103,36030803
100001526,104,36030804
100001526,105,36030805
100001526,106,36030806
100001526,107,36030807
100001526,108,36030808
100001526,109,36030809
100001526,110,36030810
100001526,111,36030811
100001526,112,36030812
100001526,113,36030813
100001526,114,36030814
100001526,99,36030799
100001566,100,36030944
100001566,99,36030943
100001605,100,36031056
100001605,101,36031057
100001605,102,36031058
100001605,103,36031059
100001605,104,36031060
100001605,105,36031061
100001605,106,36031062
100001605,107,36031063
100001605,108,36031064
100001605,109,36031065
100001605,110,36031066
100001605,111,36031067
100001605,112,36031068
100001605,113,36031069
100001605,114,36031070
100001605,99,36031055
100004002,100,36022464
100004002,101,36022465
100004002,102,36022466
100004002,103,36022467
100004002,104,36022468
100004002,105,36022469
100004002,106,36022470
100004002,107,36022471
100004002,108,36022472
100004002,109,36022473
100004002,110,36022474
100004002,111,36022475
100004002,112,36022476
100004002,113,36022477
100004002,114,36022478
100004002,99,36022463
100006366,100,36022448
100006366,101,36022449
100006366,102,36022450
100006366,103,36022451
100006366,104,36022452
100006366,105,36022453
100006366,106,36022454
100006366,107,36022455
100006366,108,36022456
100006366,109,36022457
100006366,110,36022458
100006366,111,36022459
100006366,112,36022460
100006366,113,36022461
100006366,114,36022462
100006366,99,36022447
100727123,100,36031312
100727123,101,36031313
100727123,102,36031314
100727123,103,36031315
100727123,104,36031316
100727123,105,36031317
100727123,106,36031318
100727123,107,36031319
100727123,108,36031320
100727123,109,36031321
100727123,110,36031322
100727123,111,36031323
100727123,112,36031324
100727123,113,36031325
100727123,114,36031326
100727123,99,36031311
100782514,100,36022416
100782514,101,36022417
100782514,102,36022418
100782514,103,36022419
100782514,104,36022420
100782514,105,36022421
100782514,106,36022422
100782514,107,36022423
100782514,108,36022424
100782514,109,36022425
100782514,110,36022426
100782514,111,36022427
100782514,112,36022428
100782514,113,36022429
100782514,114,36022430
100782514,99,36022415
100819513,100,36023635
100819513,101,36023637
100819513,102,36023639
100819513,103,36023641
100819513,104,36023643
100819513,105,36023645
100819513,106,36023647
100819513,107,36023649
100819513,108,36023651
100819513,109,36023653
100819513,110,36023655
100819513,111,36023657
100819513,112,36023659
100819513,113,36023661
100819513,114,36023662
100819513,99,36023633
100819520,100,36023664
100819520,101,36023665
100819520,102,36023666
100819520,103,36023667
100819520,104,36023668
100819520,105,36023669
100819520,106,36023670
100819520,107,36023671
100819520,108,36023672
100819520,109,36023673
100819520,110,36023674
100819520,111,36023675
100819520,112,36023676
100819520,113,36023677
100819520,114,36023678
100819520,99,36023663
100879532,100,36031408
100879532,101,36031409
100879532,102,36031410
100879532,103,36031411
100879532,104,36031412
100879532,105,36031413
100879532,106,36031414
100879532,107,36031415
100879532,108,36031416
100879532,109,36031417
100879532,110,36031418
