OptionID,DespatchMonth,PartnerID,Store_Name,DC,StoreID,SalesOrder,SalesOrdtype,CancelId,CancelDate,Units_by_size,Error_desc,Buying_Group,Business_Model_Name,OrderRowCode,OriginalErrorDate,Assigned_Team,Brand_Code,OB_Name,OB_Tab_Name
118879387,01-FEB-23,30029,The Iconic,,,FQQPQBIC,MCO,,,L:14|M:13|S:5|XL:6|2XL:2,Missing international sizes for SKU: 118879397 - WP_SO_IMPORT_SQL.SKU_INT_SIZE_VAL,Knitwear TM,Topman,#FQQPQB,17-FEB-23,Commercial Team,TM,Shirts Jackets Knits,Knitwear
118933240,01-FEB-23,30022,Namshi,,,FQQMPINM,MCO,,,UK6:5|UK8:7|UK10:7|UK12:6|UK14:6|UK16:4|UK18:0|UK4:0,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Miss Selfridge WB,Miss Selfridge,#FQQMPI,17-FEB-23,Commercial Team,MS,Miss S Order Book Nov 21 Onwards,TAILORING
119494686,01-FEB-23,30022,Namshi,,,KMFO1SNM,MCO,,,W30L32:2|W32L32:12|W34L32:10|W36L32:4|W38L32:2,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Casual Trousers TM,Topman,#KMFO1S,17-FEB-23,Commercial Team,TM,Bottoms & Tailoring,Casual Trousers
119494686,01-FEB-23,30029,The Iconic,,,KMFO1SIC,MCO,,,W30L32:0|W32L32:0|W34L32:0|W36L32:0|W38L32:0,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Casual Trousers TM,Topman,#KMFO1S,17-FEB-23,Commercial Team,TM,Bottoms & Tailoring,Casual Trousers
119494686,01-FEB-23,30045,Yoox,,,KMFO1SYX,MCO,,,W28L32:0|W30L32:0|W32L32:0|W34L32:0|W36L32:0,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Casual Trousers TM,Topman,#KMFO1S,17-FEB-23,Commercial Team,TM,Bottoms & Tailoring,Casual Trousers
119494686,01-FEB-23,30076,AY-GERMANY,,,KMFO1SAX,MCO,,,W28L32:12|W30L32:16|W32L32:24|W34L32:16|W36L32:12,Could not find partner (store) in RMS.,Casual Trousers TM,Topman,#KMFO1S,17-FEB-23,Wholesale Team,TM,Bottoms & Tailoring,Casual Trousers
119501490,01-FEB-23,30029,The Iconic,,,VXFO4EIC,MCO,,,W30L32:0|W32L32:0|W34L32:0|W36L32:0|W38L32:0,ORA-01403: no data found
ORA-01422: exact fetch returns more than requested number of rows - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT - 100,Casual Trousers TM,Topman,#VXFO4E,17-FEB-23,Commercial Team,TM,Bottoms & Tailoring,Casual Trousers

119501490,01-FEB-23,30045,Yoox,,,VXFO4EYX,MCO,,,W28L32:10|W30L32:14|W32L32:22|W34L32:14|W36L32:10,ORA-01403: no data found
ORA-01422: exact fetch returns more than requested number of rows - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT - 100,Casual Trousers TM,Topman,#VXFO4E,17-FEB-23,Commercial Team,TM,Bottoms & Tailoring,Casual Trousers

119501490,01-FEB-23,30065,Dafiti Chile,,,VXFO4EDA,MCO,,,W28L32:0|W30L32:0|W32L32:0|W34L32:0|W36L32:0|W38L32:0,ORA-01403: no data found
ORA-01422: exact fetch returns more than requested number of rows - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT - 100,Casual Trousers TM,Topman,#VXFO4E,17-FEB-23,Commercial Team,TM,Bottoms & Tailoring,Casual Trousers

119501491,01-FEB-23,30022,Namshi,,,SQTO4PNM,MCO,,,W28L32:2|W30L32:5|W32L32:8|W34L32:9|W36L32:4|W38L32:2,ORA-01403: no data found
ORA-01422: exact fetch returns more than requested number of rows - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT - 100,Casual Trousers TM,Topman,#SQTO4P,17-FEB-23,Commercial Team,TM,Bottoms & Tailoring,Casual Trousers

119501491,01-FEB-23,30045,Yoox,,,SQTO4PYX,MCO,,,W28L32:14|W30L32:18|W32L32:26|W34L32:18|W36L32:14,ORA-01403: no data found
ORA-01422: exact fetch returns more than requested number of rows - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT - 100,Casual Trousers TM,Topman,#SQTO4P,17-FEB-23,Commercial Team,TM,Bottoms & Tailoring,Casual Trousers

119501491,01-FEB-23,30065,Dafiti Chile,,,SQTO4PDA,MCO,,,W28L32:0|W30L32:0|W32L32:0|W34L32:0|W36L32:0|W38L32:0,ORA-01403: no data found
ORA-01422: exact fetch returns more than requested number of rows - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT - 100,Casual Trousers TM,Topman,#SQTO4P,17-FEB-23,Commercial Team,TM,Bottoms & Tailoring,Casual Trousers

119501493,01-FEB-23,30045,Yoox,,,2FTOV5YX,MCO,,,W28L32:14|W30L32:18|W32L32:26|W34L32:18|W36L32:14,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Casual Trousers TM,Topman,#2FTOV5,17-FEB-23,Commercial Team,TM,Bottoms & Tailoring,Casual Trousers
119501494,01-FEB-23,30045,Yoox,,,A6GOVBYX,MCO,,,W28L32:14|W30L32:18|W32L32:26|W34L32:18|W36L32:14,ORA-01403: no data found
ORA-01422: exact fetch returns more than requested number of rows - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT - 100,Casual Trousers TM,Topman,#A6GOVB,17-FEB-23,Commercial Team,TM,Bottoms & Tailoring,Casual Trousers

119502105,01-FEB-23,30029,The Iconic,,,6MFONGIC,MCO,,,L:0|M:0|S:0|XL:0|2XL:0,Cannot cancel non-existing Sales Order.,Shirts TM,Topman,#6MFONG,17-FEB-23,Wholesale Team,TM,Shirts Jackets Knits,Shirts
119613615,01-FEB-23,30029,The Iconic,,,2FT5DTIC,MCO,,,UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK18:0|UK4:0,Cannot cancel non-existing Sales Order.,Woven Skirts TS,Topshop,#2FT5DT,17-FEB-23,Wholesale Team,TS,APPAREL 1,Woven Sep
119613615,01-FEB-23,30045,Yoox,,,2FT5DTYX,MCO,,,UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK4:0,Cannot cancel non-existing Sales Order.,Woven Skirts TS,Topshop,#2FT5DT,17-FEB-23,Wholesale Team,TS,APPAREL 1,Woven Sep
119698397,01-FEB-23,30029,The Iconic,,,DDG14NIC,MCO,,,L:0|M:0|S:0|XL:0|XS:0,ORA-01403: no data found
ORA-01422: exact fetch returns more than requested number of rows - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT - 100,Accessories TS,Topshop,#DDG14N,17-FEB-23,Commercial Team,TS,NON CLOTHING,Accs

119698397,01-FEB-23,30045,Yoox,,,DDG14NYX,MCO,,,L:0|M:0|S:0|XL:0|XS:0|XXS:0,ORA-01403: no data found
ORA-01422: exact fetch returns more than requested number of rows - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT - 100,Accessories TS,Topshop,#DDG14N,17-FEB-23,Commercial Team,TS,NON CLOTHING,Accs

119698418,01-FEB-23,30045,Yoox,,,6N11JJYX,MCO,,,L:0|M:0|S:0|XL:0|XS:0|XXS:0,Cannot cancel non-existing Sales Order.,Accessories TS,Topshop,#6N11JJ,17-FEB-23,Wholesale Team,TS,NON CLOTHING,Accs
104682335,01-FEB-23,30022,Namshi,,,XFQ8JINM,MCO,,,W30L28:8|W32L28:9|W34L28:8|W25L28:9|W26L28:14|W28L28:12,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Denim TS,Topshop,#XFQ8JI,17-FEB-23,Commercial Team,TS,JEANS NEW,Denim
