Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
expand unprod/WholesalePortalRestServices/services/unproductivestock/getUnproductiveStockSearch-427,1208,87,75,148,154,221,56,441,0.000%,.33665,0.20,0.00
SC13_SalesOrderEdit_TR08_Click_Close,825,58,42,118,124,178,26,212,0.000%,.23034,0.17,0.00
SC02_Dashboard_Enlarge_TR08_Unprod Stock Enlarge,1208,308,286,374,409,453,235,1120,0.000%,.33662,5.82,0.00
SC09_International_Size_Upload_TR10_Click Confirm,792,57,44,118,124,150,28,199,0.000%,.22121,0.18,0.00
close window/WholesalePortalRestServices/services/dashboards-237,1363,251,237,311,324,363,210,518,0.000%,.37992,6.28,0.00
close window/RetailAppsReSTServices/services/private/Notifications/fetch/unreadcount-238,1363,54,40,115,121,148,20,294,0.000%,.37994,0.29,0.00
SC04_Slippage_Variance_TR09_Logout,1363,19,13,30,91,96,5,185,0.000%,.37995,0.32,0.00
SC02_Dashboard_Enlarge_TR09_Logout,1206,19,13,30,91,94,5,223,0.000%,.33663,0.29,0.00
SC09_International_Size_Upload_TR11_Click ok,792,51,39,117,123,192,20,210,0.000%,.22121,0.17,0.00
SC13_SalesOrderEdit_TR09_Logout,825,19,12,32,91,95,5,136,0.000%,.23034,0.20,0.00
close upload/WholesalePortalRestServices/services/dashboards-462,792,254,238,312,321,386,208,972,0.000%,.22120,3.66,0.00
SC09_International_Size_Upload_TR12_Logout,792,22,13,71,92,112,5,206,0.000%,.22121,0.19,0.00
SC11_Report_Export_TR08_Click Export to Excel,662,3648,3636,3798,3861,4023,3359,5227,0.000%,.18433,111.02,0.00
close/WholesalePortalRestServices/services/dashboards-504,661,254,238,313,329,392,209,432,0.000%,.18498,3.06,0.00
SC11_Report_Export_TR09_Logout,661,22,13,55,93,131,5,261,0.000%,.18499,0.16,0.00
SC15_BulkSalesOrderRelease_TR01_Launch,5,15,15,16,19,19,14,19,0.000%,.00185,0.01,0.00
SC15_BulkSalesOrderRelease_TR02_Login,5,552,492,658,720,720,437,720,0.000%,.00185,0.04,0.00
SC15_BulkSalesOrderRelease_TR03_Enlarge_SOR,5,521,489,539,696,696,407,696,0.000%,.00185,0.06,0.00
SC15_BulkSalesOrderRelease_TR04_Click_Release_SOR,5,36,32,35,56,56,28,56,0.000%,.00185,0.00,0.00
SC15_BulkSalesOrderRelease_TR05_Click_Ok,5,216,174,253,381,381,127,381,80.000%,.00185,0.02,0.00
SC15_BulkSalesOrderRelease_TR06_Click_Close,1,481,481,481,481,481,481,481,0.000%,2.07900,68.93,0.00
SC15_BulkSalesOrderRelease_TR07_Logout,1,22,22,22,22,22,22,22,0.000%,45.45455,41.02,0.00
TOTAL,177162,197,68,556,686,2322,2,5227,0.002%,49.16997,3677.43,0.00
