Item_Number1,Item_Number2,Item_Number3,Item_Number4,Item_Number5,Item_Number6,Item_Number7,Item_Number8,Item_Number9,Item_Number10,Item_Number11,Item_Number12,Item_Number13,Item_Number14,Item_Number15,Item_Number16,Item_Number17,Item_Number18,Item_Number19,Item_Number20,Item_Number21,Item_Number22,Item_Number23,Item_Number24,Item_Number25,Item_Number26,Item_Number27,Item_Number28,Item_Number29,Item_Number30,Item_Number31,Item_Number32,Item_Number33,Item_Number34,Item_Number35,Item_Number36,Item_Number37,Item_Number38,Item_Number39,Item_Number40,Item_Number41,Item_Number42,Item_Number43,Item_Number44,Item_Number45,Item_Number46,Item_Number47,Item_Number48,Item_Number49,Item_Number50,Item_Number51,Item_Number52,Item_Number53,Item_Number54,Item_Number55,Item_Number56,Item_Number57,Item_Number58,Item_Number59,Item_Number60,Item_Number61,Item_Number62,Item_Number63,Item_Number64,Item_Number65,Item_Number66,Item_Number67,Item_Number68,Item_Number69,Item_Number70,Item_Number71,Item_Number72,Item_Number73,Item_Number74,Item_Number75,Item_Number76,Item_Number77,Item_Number78,Item_Number79,Item_Number80,Item_Number81,Item_Number82,Item_Number83,Item_Number84,Item_Number85,Item_Number86,Item_Number87,Item_Number88,Item_Number89,Item_Number90,Item_Number91,Item_Number92,Item_Number93,Item_Number94,Item_Number95,Item_Number96,Item_Number97,Item_Number98,Item_Number99,Item_Number100
118710110,118710100,118710077,118710078,118710101,118710109,118710140,118710169,118710139,118710177,118710185,118710186,118710194,118710209,118710231,118710232,118710254,118710257,118710255,118710256,118710258,118710270,118710259,118710279,118710268,118710267,118710269,118710280,118710278,118710319,118710309,118710318,118710341,118710356,118710387,118710371,118710410,118710454,118710453,118710455,118710467,118710457,118710458,118710459,118710456,118710468,118710476,118710510,118710477,118710509,118710485,118710506,118710534,118710508,118710511,118710551,118710543,118710526,118710542,118710596,118710595,118710646,118710654,118710663,118710655,118710664,118710676,118710665,118710667,118710691,118710675,118710692,118710666,118710701,118710700,118710742,118710740,118710709,118710725,118710759,118710760,118710717,118710741,118710743,118710751,118710839,118710817,118710847,118710862,118710863,118710872,118710873,118710876,118710875,118710877,118710892,118710874,118710893,118710908,118710917
118710948,118710909,118710939,118710940,118710965,118710989,118710950,118710967,118710966,118711032,118711055,118711033,118711057,118711072,118711073,118711088,118711096,118711098,118711097,118711110,118711100,118711108,118711099,118711109,118711125,118711126,118711164,118711149,118711186,118711187,118711196,118711188,118711225,118711247,118711256,118711257,118711248,118711266,118711265,118711296,118711297,118711295,118711305,118711325,118711315,118711316,118711314,118711317,118711341,118711363,118711396,118711385,118711412,118711386,118711394,118711397,118711413,118711421,118711480,118711479,118711488,118711471,118711489,118711504,118711512,118711520,118711529,118711540,118711530,118711539,118711563,118711586,118711562,118711564,118711606,118711604,118711603,118711588,118711587,118711605,118711607,118711636,118711651,118711680,118711688,118711690,118711689,118711712,118711721,118711720,118711754,118711745,118711737,118711736,118711763,118711753,118711762,118711780,118711764,118711788
118711765,118711830,118711803,118711813,118711829,118711805,118711804,118711845,118711821,118711853,118711919,118711920,118711915,118711937,118711952,118711929,118711928,118711979,118711963,118711954,118711953,118711955,118711964,118711980,118712003,118712004,118712020,118712037,118711988,118712047,118712019,118712038,118712021,118712097,118712126,118712134,118712143,118712144,118712135,118712147,118712146,118712145,118712155,118712156,118712179,118712190,118712181,118712171,118712219,118712180,118712220,118712182,118712221,118712268,118712230,118712238,118712229,118712269,118712291,118712342,118712343,118712352,118712353,118712351,118712362,118712371,118712363,118712380,118712379,118712397,118712398,118712396,118712388,118712429,118712428,118712468,118712420,118712452,118712467,118712469,118712477,118712521,118712543,118712552,118712551,118712568,118712567,118712572,118712571,118712569,118712570,118712573,118712589,118712588,118712590,118712598,118712650,118712606,118712658,118712642
118712683,118712666,118712674,118712684,118712700,118712685,118712708,118712751,118712759,118712767,118712769,118712768,118712786,118712777,118712788,118712778,118712787,118712789,118712790,118712813,118712798,118712866,118712842,118712865,118712864,118712881,118712892,118712893,118712883,118712884,118712882,118712894,118712944,118712952,118712967,118712968,118712986,118712976,118712989,118712984,118712998,118712987,118712985,118712988,118712997,118713056,118713041,118713074,118713071,118713073,118713075,118713084,118713102,118713093,118713092,118713094,118713139,118713131,118713147,118713177,118713192,118713176,118713194,118713193,118713202,118713203,118713204,118713219,118713241,118713271,118713263,118713274,118713275,118713284,118713276,118713317,118713308,118713285,118713300,118713332,118713316,118713333,118713378,118713355,118713379,118713394,118713377,118713402,118713411,118713403,118713419,118713441,118713463,118713472,118713464,118713473,118713475,118713481,118713474,118713491
118713507,118713531,118713515,118713523,118713540,118713539,118713564,118713563,118713565,118713555,118713566,118713602,118713603,118713604,118713641,118713649,118713672,118713664,118713681,118713680,118713691,118713689,118713692,118713707,118713732,118713723,118713731,118713763,118713722,118713765,118713754,118713762,118713764,118713766,118713809,118713817,118713825,118713833,118713842,118713841,118713864,118713887,118713865,118713898,118713888,118713889,118713899,118713897,118713900,118713922,118713965,118713961,118713937,118713938,118713962,118713963,118713960,118713966,118713964,118714012,118714034,118714043,118713988,118713989,118714086,118714004,118714035,118714088,118714108,118714087,118714097,118714096,118714144,118714169,118714107,118714152,118714167,118714168,118714170,118714185,118714186,118714211,118714209,118714208,118714210,118714226,118714227,118714235,118714237,118714245,118714267,118714296,118714319,118714320,118714321,118714332,118714330,118714322,118714340,118714331
118714341,118714342,118714350,118714408,118714400,118714424,118714416,118714426,118714425,118714445,118714427,118714437,118714436,118714446,118714489,118714518,118714519,118714529,118714531,118714521,118714520,118714530,118714532,118714541,118714542,118714543,118714533,118714586,118714594,118714623,118714632,118714635,118714624,118714634,118714633,118714643,118714660,118714651,118714675,118714652,118714705,118714697,118714727,118714729,118714732,118714728,118714730,118714748,118714750,118714772,118714733,118714794,118714823,118714824,118714832,118714833,118714834,118714842,118714874,118714872,118714871,118714873,118714890,118714882,118714915,118714894,118714916,118714891,118714924,118714932,118714947,118714948,118714949,118714971,118714979,118714995,118714980,118715010,118715040,118715039,118715048,118715056,118715057,118715089,118715100,118715090,118715101,118715092,118715072,118715080,118715103,118715091,118715088,118715119,118715127,118715102,118715111,118715170,118715179,118715196
118715178,118715180,118715188,118715253,118715256,118715254,118715255,118715272,118715274,118715257,118715282,118715273,118715290,118715291,118715302,118715311,118715335,118715301,118715300,118715303,118715299,118715364,118715326,118715372,118715334,118715394,118715395,118715396,118715454,118715453,118715457,118715456,118715455,118715458,118715459,118715468,118715460,118715477,118715476,118715499,118715500,118715515,118715546,118715547,118715530,118715545,118715563,118715548,118715571,118715573,118715625,118715602,118715603,118715640,118715657,118715667,118715669,118715666,118715656,118715648,118715685,118715658,118715686,118715668,118715687,118715759,118715758,118715767,118715770,118715768,118715795,118715771,118715772,118715818,118715787,118715817,118715820,118715819,118715857,118715849,118715866,118715865,118715882,118715884,118715883,118715886,118715894,118715945,118715944,118715968,118715985,118715967,118715970,118715969,118715988,118715996,118715986,118716004,118716050,118716035
118716026,118716027,118716051,118716060,118716052,118716076,118716068,118716084,118716093,118716085,118716138,118716137,118716129,118716182,118716186,118716187,118716183,118716181,118716184,118716226,118716196,118716234,118716243,118716244,118716242,118716225,118716246,118716245,118716268,118716285,118716283,118716321,118716322,118716323,118716360,118716376,118716359,118716384,118716385,118716402,118716394,118716386,118716413,118716414,118716429,118716403,118716412,118716444,118716445,118716468,118716446,118716483,118716523,118716512,118716498,118716507,118716506,118716538,118716567,118716575,118716576,118716600,118716601,118716612,118716613,118716591,118716599,118716610,118716602,118716611,118716614,118716622,118716659,118716644,118716682,118716691,118716683,118716681,118716709,118716739,118716707,118716710,118716708,118716754,118716797,118716799,118716800,118716801,118716802,118716798,118716803,118716804,118716836,118716812,118716867,118716814,118716859,118716858,118716876,118716868
118716877,118716901,118716917,118716916,118716925,118716933,118716983,118716998,118716999,118717001,118717000,118717009,118717019,118717017,118717018,118717042,118717060,118717051,118717052,118717043,118717061,118717085,118717094,118717086,118717124,118717123,118717155,118717132,118717140,118717184,118717193,118717192,118717208,118717216,118717240,118717217,118717239,118717241,118717251,118717259,118717242,118717262,118717243,118717260,118717261,118717270,118717338,118717278,118717300,118717355,118717308,118717356,118717385,118717339,118717347,118717386,118717387,118717424,118717449,118717439,118717450,118717447,118717458,118717459,118717467,118717499,118717500,118717468,118717498,118717497,118717515,118717524,118717532,118717564,118717572,118717581,118717573,118717563,118717562,118717596,118717647,118717646,118717656,118717655,118717658,118717682,118717681,118717698,118717715,118717707,118717706,118717737,118717741,118717740,118717738,118717749,118717739,118717750,118717781,118717772
118717789,118717826,118717780,118717841,118717825,118717871,118717873,118717872,118717856,118717874,118717882,118717927,118717896,118717929,118717926,118717931,118717928,118717940,118717949,118717948,118717939,118717958,118717930,118717950,118718022,118718019,118717982,118718004,118718057,118718058,118718049,118718059,118718081,118718096,118718104,118718121,118718120,118718119,118718129,118718138,118718137,118718165,118718140,118718161,118718139,118718156,118718175,118718141,118718190,118718173,118718174,118718235,118718234,118718236,118718205,118718273,118718258,118718295,118718304,118718296,118718305,118718321,118718329,118718320,118718337,118718345,118718373,118718364,118718381,118718356,118718405,118718372,118718390,118718413,118718382,118718436,118718451,118718435,118718473,118718489,118718505,118718513,118718542,118718543,118718544,118718546,118718545,118718555,118718557,118718558,118718573,118718603,118718556,118718588,118718604,118718635,118718620,118718673,118718636,118718665
118718674,118718696,118718697,118718720,118718712,118718728,118718736,118718737,118718754,118718756,118718738,118718739,118718755,118718765,118718773,118718819,118718774,118718810,118718818,118718843,118718820,118718859,118718882,118718874,118718912,118718913,118718928,118718939,118718938,118718937,118718947,118718972,118718956,118718971,118718994,118718995,118719010,118719020,118719011,118719019,118719058,118719066,118719067,118719083,118719075,118719126,118719127,118719139,118719129,118719138,118719140,118719171,118719163,118719162,118719172,118719194,118719202,118719233,118719210,118719211,118719241,118719252,118719242,118719250,118719267,118719276,118719312,118719320,118719336,118719328,118719338,118719337,118719339,118719340,118719356,118719355,118719364,118719365,118719387,118719402,118719440,118719438,118719441,118719439,118719442,118719451,118719450,118719453,118719475,118719452,118719499,118719476,118719491,118719536,118719528,118719545,118719555,118719553,118719556,118719557
118719565,118719588,118719587,118719631,118719650,118719648,118719639,118719649,118719647,118719670,118719651,118719669,118719660,118719659,118719699,118719707,118719709,118719708,118719745,118719754,118719755,118719753,118719764,118719756,118719779,118719780,118719810,118719788,118719846,118719855,118719857,118719856,118719858,118719859,118719854,118719860,118719870,118719861,118719871,118719907,118719916,118719954,118719938,118719955,118719956,118719953,118719971,118719979,118719980,118719988,118719989,118720032,118720056,118720055,118720058,118720059,118720057,118720054,118720077,118720068,118720092,118720069,118720109,118720107,118720108,118720131,118720161,118720146,118720178,118720176,118720177,118720187,118720188,118720196,118720232,118720247,118720256,118720257,118720259,118720255,118720276,118720285,118720308,118720277,118720275,118720293,118720324,118720316,118720347,118720332,118720362,118720370,118720387,118720378,118720418,118720402,118720433,118720462,118720474,118720464
118720465,118720466,118720463,118720476,118720516,118720484,118720475,118720493,118720494,118720485,118720534,118720524,118720525,118720533,118720549,118720585,118720593,118720601,118720617,118720618,118720619,118720648,118720663,118720674,118720673,118720672,118720683,118720671,118720684,118720693,118720724,118720692,118720723,118720732,118720742,118720734,118720733,118720750,118720786,118720824,118720815,118720816,118720825,118720834,118720833,118720835,118720864,118720891,118720890,118720881,118720882,118720879,118720930,118720900,118720915,118720949,118720940,118720931,118720899,118720932,118720948,118720950,118721032,118721034,118721030,118721031,118721043,118721033,118721065,118721035,118721066,118721097,118721095,118721113,118721098,118721096,118721114,118721116,118721117,118721115,118721126,118721125,118721134,118721180,118721156,118721164,118721209,118721172,118721210,118721239,118721259,118721249,118721240,118721241,118721258,118721250,118721288,118721313,118721317,118721312
118721311,118721316,118721315,118721318,118721310,118721314,118721355,118721393,118721354,118721395,118721370,118721392,118721396,118721394,118721425,118721433,118721448,118721449,118721467,118721457,118721465,118721489,118721466,118721520,118721511,118721522,118721512,118721523,118721532,118721531,118721521,118721533,118721534,118721535,118721593,118721585,118721604,118721603,118721602,118721594,118721634,118721619,118721664,118721642,118721681,118721673,118721672,118721682,118721697,118721721,118721719,118721729,118721720,118721731,118721732,118721733,118721734,118721730,118721742,118721743,118721772,118721808,118721809,118721827,118721825,118721824,118721826,118721842,118721843,118721865,118721881,118721880,118721889,118721904,118721929,118721928,118721920,118721912,118721932,118721931,118721933,118721930,118721934,118721936,118721935,118722001,118721979,118722009,118722026,118722035,118722027,118722024,118722025,118722044,118722043,118722087,118722088,118722089,118722104,118722105
