Item_Number,Barcodes
143713014,2200004901381
143713016,2200004901398
143713018,2200004901404
143713019,2200004901411
143713024,2200004901428
143713026,2200004901435
143713028,2200004901442
143713029,2200004901459
143713030,2200004901466
143713032,2200004901473
143713033,2200004901480
143713041,2200004901497
143713042,2200004901503
143713043,2200004901510
143713044,2200004901527
143713048,2200004901534
143713049,2200004901541
143713050,2200004901558
143713052,2200004901565
143713053,2200004901572
143713054,2200004901589
143713056,2200004901596
143713061,2200004901602
143713062,2200004901619
143713064,2200004901626
143713066,2200004901633
143713067,2200004901640
143713069,2200004901657
143713070,2200004901664
143713073,2200004901671
143713076,2200004901688
143713078,2200004901695
143713079,2200004901701
143713081,2200004901718
143713082,2200004901725
143713084,2200004901732
143713091,2200004901749
143713092,2200004901756
143713093,2200004901763
143713094,2200004901770
143713098,2200004901787
143713099,2200004901794
143713100,2200004901800
143713102,2200004901817
143713103,2200004901824
143713105,2200004901831
143713106,2200004901848
143713109,2200004901855
143713112,2200004901862
143713114,2200004901879
143713116,2200004901886
143713118,2200004901893
143713119,2200004901909
143713120,2200004901916
143713123,2200004901923
143713125,2200004901930
143713127,2200004901947
143713130,2200004901954
143713132,2200004901961
143713133,2200004901978
143713134,2200004901985
143713141,2200004901992
143713142,2200004902005
143713143,2200004902012
143713144,2200004902029
143713148,2200004902036
143713150,2200004902043
143713151,2200004902050
143713152,2200004902067
143713153,2200004902074
143713155,2200004902081
143713156,2200004902098
143713161,2200004902104
143713163,2200004902111
143713165,2200004902128
143713166,2200004902135
143713167,2200004902142
143713169,2200004902159
143713170,2200004902166
143713172,2200004902173
143713175,2200004902180
143713176,2200004902197
143713179,2200004902203
143713182,2200004902210
143713183,2200004902227
143713186,2200004902234
143713191,2200004902241
143713192,2200004902258
143713193,2200004902265
143713194,2200004902272
143713197,2200004902289
143713200,2200004902296
143713201,2200004902302
143713203,2200004902319
143713204,2200004902326
143713205,2200004902333
143713206,2200004902340
143713211,2200004902357
143713213,2200004902364
143713215,2200004902371
143713216,2200004902388
143713217,2200004902395
143713218,2200004902401
143713220,2200004902418
143713222,2200004902425
143713224,2200004902432
143713225,2200004902449
143713229,2200004902456
143713233,2200004902463
143713234,2200004902470
143713236,2200004902487
143713239,2200004902494
143713242,2200004902500
143713243,2200004902517
143713244,2200004902524
143713247,2200004902531
143713250,2200004902548
143713251,2200004902555
143713253,2200004902562
143713254,2200004902579
143713257,2200004902586
143713258,2200004902593
143713261,2200004902609
143713264,2200004902616
143713265,2200004902623
143713266,2200004902630
143713267,2200004902647
143713268,2200004902654
143713269,2200004902661
143713271,2200004902678
143713273,2200004902685
143713274,2200004902692
143713280,2200004902708
143713281,2200004902715
143713283,2200004902722
143713286,2200004902739
143713289,2200004902746
143713291,2200004902753
143713292,2200004902760
143713294,2200004902777
143713296,2200004902784
143713300,2200004902791
143713301,2200004902807
143713303,2200004902814
143713305,2200004902821
143713306,2200004902838
143713307,2200004902845
143713310,2200004902852
143713314,2200004902869
143713315,2200004902876
143713316,2200004902883
143713317,2200004902890
143713319,2200004902906
143713320,2200004902913
143713321,2200004902920
143713324,2200004902937
143713326,2200004902944
143713329,2200004902951
143713331,2200004902968
143713333,2200004902975
143713334,2200004902982
143713339,2200004902999
143713341,2200004903002
143713343,2200004903019
143713344,2200004903026
143713349,2200004903033
143713350,2200004903040
143713351,2200004903057
143713353,2200004903064
143713355,2200004903071
143713356,2200004903088
143713359,2200004903095
143713361,2200004903101
143713363,2200004903118
