Group no,Item_Number_1,Item_Number_2,Item_Number_3,Item_Number_4
13744,143082823,142117281,142657963,141531541
13745,143082822,142117280,142657962,141531449
13748,143082821,142117279,142657961,141531448
13749,143082820,142117278,142657960,141531447
13750,143082819,142117196,142657959,141531446
13751,143082818,142117195,142657958,141531445
13752,143082817,142117194,142657957,141531444
13756,143082663,142117193,142657956,141531443
13757,143082465,142117166,142657955,141531442
13758,143082464,142117165,142657954,141531037
13759,143082306,142117164,142657933,141531036
13760,143082305,142117163,142657932,141531035
13761,143082304,142117146,142657931,141530773
13762,143082303,142117145,142657930,141530650
13763,143082286,142117144,142657929,141530649
13764,143082276,142117143,142657864,141530648
13766,143082232,142117118,142657863,141530599
13767,143082231,142117117,142657862,141530598
13768,143082226,142117116,142657861,141530597
13769,143082172,142117099,142657860,141530595
13770,143082171,142117098,142657859,141530542
13771,143082170,142117097,142657858,141530541
13772,143082169,142117096,142657857,141530540
13773,143082168,142117049,142657856,141530539
13774,143082167,142117048,142657799,141530538
13775,143082166,142117047,142657798,141530142
13776,143082165,142117046,142657797,141530140
13777,143082164,142117045,142657796,141530139
13778,143082163,142117044,142657795,141530137
13779,143082162,142117003,142657794,141530136
13780,143082161,142117002,142657793,141530134
13781,143082160,142117001,142657792,141530133
13782,143082159,142116847,142657791,141530131
13783,143082158,142116804,142657748,141530129
13784,143082157,142116803,142542685,141530087
13785,143081954,142116802,142542684,141530086
13786,143081953,142116801,142542683,141530085
13787,143081952,142116329,142542682,141530084
13788,143081951,142116328,142542681,141530083
13789,143081950,142116327,142542680,141530082
13790,143081892,142116326,142542679,141530081
13791,143081891,142116325,142542678,141530080
13792,143081890,142116324,142542551,141530079
13793,143081889,142116323,142542550,141530045
13794,143081884,142116322,142542549,141530044
13795,143081834,142116321,142542548,141529541
13796,143081833,142116317,142542547,141529540
13797,143081831,142116316,142542546,141529539
13798,143081830,142116315,142542507,141529538
13799,143081829,142116314,142542403,141529537
13800,143081499,142116257,142542402,141529501
13801,143081466,142116256,142542401,141529500
13802,143081465,142116255,142542400,141529499
13803,143081428,142116230,142542399,141529498
13804,143081427,142116225,142542398,141529497
13806,143081426,142116051,142542397,141529496
13807,143081425,142116047,142542396,141529495
13808,143081424,142116046,142542395,141529494
13809,143081423,142116045,142542302,141529493
13811,143081422,142116044,142542241,141529492
13812,143081421,142116043,142542240,141529491
13813,143081404,142116041,142542238,141529490
13814,143081403,142116040,142542148,141529489
13815,143081246,142116039,142542147,141529488
13816,143081245,142116033,142542146,141529487
13817,143081244,142116032,142542145,141529486
13818,143081243,142116030,142542144,141529485
13819,143081014,142116029,142542143,141529484
13820,143081013,142116022,142542142,141529483
13821,143081011,142116015,142542090,141529482
13822,143081010,142116013,142542089,141529481
13823,143081009,142115959,142542088,141529480
13824,143081008,142115958,142542087,141529479
13825,143081007,142115956,142542086,141529475
13826,143081006,142115955,142542085,141529474
13827,143081005,142115954,142542084,141529394
13828,143081004,142115952,142542083,141529391
13829,143081003,142115950,142542082,141529245
13830,143081002,142115847,142542081,141529236
13831,143081001,142115846,142542080,141529203
13832,143080865,142115845,142542079,141529108
13833,143080864,142115844,142542078,141529107
13834,143080863,142115796,142541866,141529105
13837,143080862,142115730,142541801,141529104
13838,143080861,142115729,142541800,141529103
13839,143080860,142115728,142541799,141529102
13840,143080858,142091744,142541798,141528954
13841,143080857,142091743,142541797,141528953
13842,143080856,142091742,142541796,141528467
13843,143080855,142091593,142541795,141528466
13844,143080854,142091592,142541794,141528465
13845,143080853,142091544,142541793,141528464
13846,143080852,142091543,142541792,141528352
13847,143080851,142091542,142541791,141528202
13848,143080850,142091541,142541790,141528201
13849,143080849,142091509,142541789,141528200
13850,143080848,142091507,142541761,141528199
13851,143080654,142091462,142541752,141528198
13852,143080653,142091461,142541723,141528197
13853,143080652,142091460,142541722,141528196
13854,143080651,142091459,142541450,141528195
13857,143080650,142091458,142541449,141528163
13858,143080649,142091457,142541448,141528162
13860,143080648,142091456,142541447,141528161
13861,143080647,142091437,142541446,141528160
13862,143080646,142091414,142541445,141528159
13864,143080645,142091404,142541341,141528157
13865,143080644,142091391,142541340,141527345
13866,143080643,142091366,142541339,141527344
13867,143080642,142091365,142541313,141527338
13870,143080641,142091364,142541312,141527249
13871,143080640,142091363,142541311,141527248
13875,143080639,142091362,142541187,141527247
13876,143080638,142091361,142541186,141525612
13877,143080637,142091360,142541037,141525611
13878,143080636,142091359,142541036,141525610
13879,143080635,142091190,142541035,141525609
13880,143080634,142091189,142541034,141525608
13881,143080356,142091188,142540978,141525607
13882,143080355,142091187,142540977,141525606
13883,143080353,142091186,142540976,141525605
13884,143080311,142091185,142540975,141525604
13885,143080310,142091184,142540974,141525603
13886,143080305,142091020,142540480,141525602
13887,143080304,142091019,142540479,141525601
13888,143080303,142091018,142540478,141525600
13889,143080302,142091017,142540477,141525599
13890,143080301,142091016,142540476,141525598
13891,143080300,142091015,142540475,141525597
13892,143079966,142091014,142540474,141525596
13893,143079928,142091013,142540473,141525595
13894,143079810,142091012,142540458,141525594
13895,143079809,142091011,142540457,141525593
13896,143079808,142091009,142540456,141525592
13897,143079807,142091008,142540455,141525591
13898,143079806,142091007,142540396,141525590
13900,143059947,142091006,142540395,141525589
13901,143059946,142091005,142540394,141525588
13902,143059945,142091004,142540392,141525587
13903,143059943,142091003,142540360,141525586
13904,143059942,142091002,142540359,141525585
13905,143059941,142091001,142540343,141525584
13906,143059917,142091000,142540334,141525583
13907,143059916,142090939,142540265,141525582
13908,143059895,142090890,142540264,141525581
13909,143059894,142090889,142540263,141525580
13910,143059893,142090888,142540262,141525579
13914,143059892,142090887,142540261,141525578
13915,143059873,142090885,142540260,141525577
13916,143059872,142090881,142540186,141525576
13917,143059810,142088885,142540182,141525575
13918,143059808,142088884,142540180,141525574
13919,143059807,142088832,142540179,141525573
13921,143056481,142088592,142540177,141525572
13922,143056423,142088591,142540176,141525571
13923,143056280,142088590,142540165,141525570
13924,143055967,142088589,142540151,141525569
13925,143055966,142088588,142540019,141525568
13926,143055964,142088587,142540018,141525567
13927,143055820,142088586,142539997,141525566
13928,143055819,142088585,142539964,141525565
13929,143055818,142088584,142539963,141525564
13930,143055816,142088583,142539962,141525563
13931,143055815,142088551,142539961,141525562
13932,143055814,142088550,142539920,141525561
13933,143055813,142088548,142539919,141525560
13934,143055812,142088546,142539917,141525559
13935,143055811,142088543,142539910,141525558
13936,143055810,142088385,142518692,141525557
13938,143055809,142088384,142518691,141525556
13939,143055772,142088383,142518690,141525555
13940,143055771,142088364,142518627,141525554
13941,143055770,142088363,142518626,141525425
13942,143055769,142088340,142518625,141525424
13943,143055585,142088339,142518624,141525423
13944,143055584,142087994,142518623,141525422
13945,143055583,142087993,142518622,141525421
13946,143055582,142087762,142518519,141525179
13947,143055581,142087572,142518517,141525178
13948,143055580,142087571,142518516,141525177
13949,143055579,142087570,142518282,141525176
13950,143055578,142087480,142518281,141525175
13951,143055577,142087479,142518041,141525174
13952,143055576,142086828,142518040,141525173
13953,143055575,142086827,142518039,141525172
13954,143055574,142086826,142518038,141524269
13955,143055565,142086824,142518037,141524268
13956,143055564,142086822,142517809,141524267
13957,143055543,142086819,142517808,141524154
13958,143055542,142086752,142517807,141524153
13959,143055477,142086751,142517806,141524152
13960,143055476,142086750,142517805,141524151
13961,143055427,142086749,142517804,141524150
13962,143055426,142086747,142517803,141524149
13963,143055425,142086746,142517802,141524148
13966,143055424,142086745,142517800,141524147
13967,143055423,142086706,142517799,141524146
13968,143055422,142086705,142517798,141524145
13969,143055265,142086704,142515569,141524144
13971,143055264,142086703,142515568,141524143
13972,143055263,142086701,142515567,141524142
13973,143055262,142086700,142515566,141524141
13974,143055261,142086699,142515565,141524140
13975,143055260,142086661,142515564,141524139
13976,143055259,142086653,142515563,141524138
13977,143055258,142086403,142515559,141524137
13978,143055257,142086395,142515558,141524124
13979,143055168,142086394,142515531,141503383
13980,143055167,142086393,142515530,141503382
13981,143055166,142086392,142515409,141503381
13982,143055165,142086391,142515407,141503380
13983,143055164,142086390,142515406,141503379
13984,143055163,142086389,142515405,141503378
13985,143055162,142085937,142515404,141503377
13986,143055161,142085936,142515403,141503376
13987,143055160,142085935,142515402,141503375
13988,143055159,142047412,142515401,141503374
13989,143055158,142047411,142515400,141503333
13990,143055068,142047410,142515399,141503330
13991,143055067,142047409,142515398,141503327
13992,143055066,142047407,142515241,141503326
13993,143055065,142047406,142515239,141503142
13994,143055064,142047405,142515235,141502826
13995,143055063,142047282,142515234,141502825
13996,143055062,142047281,142515233,141502824
13997,143055061,142047264,142515232,141502823
13998,143055060,142047123,142515231,141502822
13999,143055059,142047122,142515230,141502821
14001,143055058,142047097,142515229,141502820
14002,143054985,142047095,142515228,141502819
14003,143054984,142047094,142515227,141502818
14004,143054983,142047051,142515226,141502546
14005,143054982,142046966,142515225,141502515
14006,143054981,142046965,142515224,141502514
14007,143054980,142046962,142515223,141502513
14008,143054979,142046961,142515007,141502512
14010,143054978,142046958,142514756,141502511
14011,143054977,142046477,142514755,141502510
14012,143054896,142046476,142514754,141502509
14013,143054895,142046475,142514753,141502508
14014,143054894,142046474,142514752,141502507
14015,143054893,142046473,142514751,141502446
14016,143054892,142046471,142514750,141502445
14017,143054891,142046409,142514749,141502444
14018,143054890,142046408,142513625,141502443
14019,143054889,142046407,142513624,141502442
14020,143054888,142046405,142513622,141502441
14021,143054887,142046404,142513621,141502440
14022,143054814,142046403,142513608,141502414
14023,143054813,142046402,142513604,141502413
14024,143054812,142046401,142513603,141502412
14025,143054811,142046400,142513602,141502411
14026,143054810,142046399,142513601,141501967
14027,143054809,142046398,142513529,141501935
14028,143054808,142046397,142513528,141501934
14029,143054807,142046396,142513527,141501933
14030,143054806,142046395,142513526,141501932
14031,143050998,142046359,142513525,141501931
14032,143050997,142046358,142513524,141501930
14034,143050996,142046357,142513523,141501929
14035,143050995,142045841,142513522,141501928
14036,143050994,142045840,142513319,141501927
14037,143050993,142045839,142513318,141501926
14038,143050992,142045838,142513317,141501925
14039,143050991,142045837,142513316,141501916
14040,143050910,142045836,142513315,141501915
14041,143050909,142045835,142513314,141501295
14042,143050908,142045834,142513313,141501294
14043,143050907,142045833,142513312,141501267
14044,143050906,142045832,142513311,141501266
14045,143050905,142045831,142513310,141501265
14046,143050904,142045830,142513309,141501003
14047,143050903,142043613,142513241,141501002
14048,143050902,142043295,142513237,141501001
14049,143050901,142043294,142513236,141501000
14050,143050820,142043293,142513233,141500999
14051,143050819,142043292,142513232,141500998
14052,143050818,142043291,142513231,141500997
14053,143050817,142043290,142513230,141500756
14054,143050816,142043010,142513229,141500732
14055,143050815,142043009,142513228,141500709
14056,143050814,142042990,142513131,141500708
14057,143050813,142042989,142513130,141500707
14058,143050812,142042988,142513129,141500603
14059,143050811,142042987,142513128,141500602
14060,143050693,142042986,142512719,141500601
14061,143050692,142042985,142512718,141500244
14062,143050691,142042984,142512717,141500242
14063,143050690,142042983,142512716,141500241
14064,143050689,142042982,142512677,141500240
14065,143050643,142042981,142512676,141499766
14066,143050642,142042980,142512574,141499765
14067,143050641,142042979,142512573,141499764
14068,143050640,142042978,142512572,141499763
14069,143050639,142042977,142512549,141499546
14070,143050638,142042976,142512469,141499545
14071,143050637,142042975,142512184,141499544
14072,143050636,142042974,142511989,141499543
14073,143050635,142042973,142511938,141499542
14074,143050634,142042972,142511937,141499537
14076,143050633,142042971,142511855,141499504
14077,143050517,142042970,142511838,141499503
14078,143049864,142042969,142511837,141499502
14079,143049863,142042968,142511836,141499501
14080,143049862,142042967,142511835,141499500
14081,143049474,142042966,142511834,141499499
14082,143049473,142042965,142511833,141499498
14083,143049214,142042964,142511832,141499497
14084,143049213,142042963,142511831,141498868
14085,143049212,142042962,142511830,141498867
14086,143049211,142042961,142511755,141498866
14087,143049210,142042960,142511754,141498865
14088,143049209,142042959,142511753,141498826
14089,143049208,142042958,142511752,141498825
14090,143049207,142042957,142511751,141498824
14091,143049206,142042715,142511750,141498823
14092,143049205,142042714,142511749,141498656
14094,143049204,142042695,142511748,141498655
14095,143049203,142042694,142511747,141498654
14096,143049165,142042693,142511746,141498653
14097,143049051,142042692,142511745,141498652
14098,143049050,142042691,142511744,141498651
14099,143049049,142042690,142511743,141498650
14100,143049048,142042689,142511742,141498649
14101,143049047,142042688,142511740,141498648
14102,143048994,142042687,142511599,141498647
14103,143048993,142042686,142511547,141498646
14104,143048992,142042685,142511546,141498645
14105,143048991,142042684,142511545,141498644
14106,143048990,142042683,142511544,141498610
14107,143048989,142042682,142511543,141496509
14108,143048988,142042681,142511540,141496508
14109,143048799,142042680,142511538,141496507
14110,143048669,142042679,142510937,141496506
14111,143048668,142042678,142510936,141496505
14112,143048632,142042677,142510935,141495619
14113,143048631,142042676,142510934,141495618
14114,143048630,142042675,142510933,141495617
14115,143048629,142042674,142510932,141491066
14116,143048628,142042673,142510931,141491065
14117,143048627,142042672,142510930,141490701
14118,143048626,142042671,142510929,141490700
14119,143048619,142042670,142510928,141490698
14120,143048618,142042669,142510927,141490678
14121,143048617,142042668,142510926,141490600
14122,143048616,142042667,142510925,141490456
14123,143048615,142042666,142510924,141490455
14124,143048614,142042665,142510923,141490454
14125,143048613,142042664,142510922,141490452
14126,143048612,142042663,142510857,141490450
14127,143048611,142042662,142510856,141490449
14134,143048610,141976204,142510855,141490448
14136,143022933,141938528,142510854,141490364
14140,143022932,141938527,142510853,141490363
14143,143022897,141938508,142510852,141490362
14144,143022896,141938507,142510851,141489252
14145,143022895,141938506,142510850,141488028
14146,143022687,141938505,142510849,141488025
14147,143022686,141938504,142510848,141488024
14148,143022685,141938503,142510847,141488023
14149,143022684,141938502,142510846,141465395
14150,143022683,141938501,142510845,141465394
14151,143022682,141938500,142510844,141464545
14152,143022681,141938499,142510843,141464544
14153,143022680,141938498,142510842,141464543
14154,143022679,141938497,142510601,141464542
14155,143022678,141938496,142510600,141464541
14156,143022677,141938495,142510599,141464540
14157,143022672,141938494,142510598,141464539
14158,143022671,141938493,142510597,141464538
14159,143022670,141938492,142510596,141464537
14160,143022669,141938491,142510595,141464356
14161,143022663,141938490,142510594,141464355
14162,143022662,141938489,142510593,141464354
14163,143022661,141938488,142510592,141464353
14166,143022660,141938487,142510591,141464352
14167,143022652,141938486,142510590,141464351
14169,143022651,141938485,142510589,141464350
14171,143022650,141938484,142510588,141464349
14172,143022649,141938483,142510587,141464348
14173,143022648,141938482,142510586,141464347
14174,143022641,141938481,142510585,141464346
14175,143022567,141938480,142510584,141464345
14176,143022566,141938479,142510583,141464344
14177,143022565,141938478,142510582,141464343
14178,143022564,141938477,142510581,141464342
14179,143022563,141938476,142510580,141464262
14180,143022562,141938475,142510567,141464261
14181,143022561,141933342,142510566,141464260
14182,143022560,141933341,142510565,141464258
14183,143022535,141933340,142510564,141464257
14184,143022534,141933339,142510563,141464255
14185,143022533,141933338,142510562,141464254
14186,143022532,141933337,142510561,141464250
14188,143022531,141932987,142510560,141464249
14189,143022530,141932986,142510559,141464248
14190,143022489,141932967,142510444,141464247
14191,143022488,141932966,142510443,141464246
14192,143022487,141932965,142510441,141464005
14193,143022486,141932964,142510119,141464004
14194,143022441,141932963,142510118,141463875
14195,143022440,141932962,142510117,141463874
14196,143022439,141932961,142510116,141463873
14197,143022371,141932960,142510115,141463872
14198,143022370,141932959,142510114,141463871
14199,143022369,141932958,142510113,141463870
14200,143022368,141932957,142510112,141463869
14201,143022367,141932956,142510111,141463480
14202,143022043,141932955,142510110,141463479
14204,143021973,141932954,142510109,141463478
14205,143021972,141932953,142510108,141463477
14206,143021971,141932952,142510107,141463270
14207,143021970,141932951,142510106,141463196
14208,143021969,141932950,142510031,141462209
14209,143021968,141932949,142509941,141462208
14210,143021967,141932948,142509853,141462207
14211,143021966,141932947,142509852,141462206
14213,143021965,141932946,142509851,141462205
14214,143021763,141932945,142509850,141462204
14215,143021578,141932944,142509849,141462203
14216,143021577,141932943,142509848,141462202
14217,143021576,141932942,142509847,141462201
14218,143021543,141932941,142509846,141462200
14219,143021540,141932940,142509738,141462199
14220,143021539,141932939,142509733,141462198
14221,143021370,141932938,142509653,141462197
14222,143021366,141932937,142509652,141462196
14223,143021264,141932936,142509651,141462195
14225,143021263,141932935,142509650,141462194
14226,143021262,141932934,142509649,141462193
14227,143021185,141932124,142509648,141462192
14228,143021184,141932043,142509647,141462107
14229,143021183,141932042,142509646,141462062
14230,143021182,141932001,142509621,141462061
14231,143021181,141932000,142509524,141462060
14232,143021180,141931999,142509520,141462028
14233,143021179,141931998,142509519,141462027
14234,143021178,141931961,142509440,141462018
14235,143021042,141931960,142509439,141461978
14236,143021020,141931959,142509438,141461977
14237,143021019,141931958,142509437,141461975
14238,143021018,141914457,142509171,141461974
14239,143021017,141914262,142509170,141461724
14240,143020968,141914255,142509169,141461683
14241,143020812,141914254,142509168,141461682
14242,143020811,141914253,142509167,141461681
14243,143020810,141914252,142509166,141461680
14244,143020809,141914251,142509165,141461679
14245,143020808,141914250,142509152,141461678
14246,143020807,141914249,142509151,141461677
14251,143020806,141914247,142509150,141461676
14252,143020805,141914245,142509119,141461675
14253,143020804,141914244,142509118,141461674
14254,143020803,141914243,142509117,141461590
14255,143020802,141914242,142509116,141461589
14256,143020801,141914241,142509115,141461578
14257,143020800,141914240,142509066,141461290
14273,143020798,141914239,142509065,141461289
14279,143020797,141914238,142509064,141461287
14280,143020796,141914237,142509063,141461286
14281,143020795,141914236,142509062,141461284
14282,143020794,141914219,142509061,141461283
14283,143020793,141914218,142509060,141461164
14284,143020792,141914209,142509059,141460930
14285,143020791,141914122,142509058,141460929
14286,143020790,141914121,142509057,141460928
14287,143020789,141914120,142509056,141460927
14288,143020788,141914119,142509055,141460756
14289,143020787,141914118,142509054,141460755
14290,143020786,141914117,142509053,141460754
14291,143020785,141914116,142509052,141460753
14292,143020784,141914115,142509051,141460752
14293,143020783,141914114,142509050,141460751
14294,143020652,141914113,142509049,141460750
14295,143020357,141914112,142509048,141460749
14296,143020155,141914111,142509047,141460748
14297,143020154,141914110,142509046,141460747
14298,143020153,141914109,142509045,141460746
14299,143020152,141914108,142509044,141460745
14300,143020138,141914107,142509043,141460744
14301,143020137,141914106,142509042,141460676
14305,143020136,141914102,142436267,141460635
14306,143020135,141914093,142436266,141460629
14307,143020134,141913312,142436265,141460622
14308,143020092,141913310,142436264,141455048
14309,143020090,141913309,142436263,141455047
14310,143020089,141913308,142436262,141455046
14311,143019926,141913307,142436261,141455045
14312,143019920,141913306,142436258,141455044
14313,143019904,141913305,142436257,141455034
14314,143019887,141913304,142436256,141455033
14315,143019886,141913303,142436255,141417994
14316,143019885,141913198,142436254,141417993
14317,143019884,141913133,142436253,141417992
14318,142999057,141913132,142436252,141417947
14319,142999056,141913131,142436251,141417906
14320,142999055,141913130,142436249,141417792
14323,142999054,141913129,142436248,141417660
14324,142999053,141913128,142436247,141417659
14325,142999052,141913127,142436246,141417656
14326,142999051,141913126,142436245,141417655
14328,142999050,141913101,142436244,141417654
14329,142999049,141913100,142436243,141417653
14330,142999048,141913099,142436242,141417652
14331,142999047,141913098,142436241,141417574
14332,142999046,141913097,142436240,141417543
14333,142998897,141913069,142436239,141417542
14334,142998529,141913068,142436238,141417539
14335,142998528,141913067,142436237,141417327
14336,142998527,141913054,142436236,141417326
14337,142998525,141912978,142436235,141417325
14338,142998523,141912977,142436232,141417324
14340,142998522,141912976,142436231,141417323
14341,142998521,141912975,142436229,141417322
14342,142998520,141912974,142436228,141417321
14343,142998519,141912973,142436227,141417320
14344,142998518,141912882,142436226,141417186
14345,142998517,141912790,142436225,141417181
14346,142998516,141912789,142436224,141417179
14347,142998515,141912788,142436223,141417177
14348,142998514,141912676,142436221,141417176
14349,142998513,141912675,142436220,141417145
14350,142998512,141912674,142436219,141417144
14351,142998511,141912673,142436218,141417143
14353,142998510,141912672,142436217,141417141
14354,142998509,141912671,142436216,141416534
14355,142998508,141912669,142436215,141416510
14356,142998249,141912667,142436214,141416509
14357,142998238,141912666,142436213,141416508
14358,142997795,141912665,142436212,141416507
14359,142997794,141912664,142435552,141416506
14360,142997793,141912663,142435537,141416505
14361,142997792,141912662,142435536,141416504
14362,142997791,141912660,142435499,141416503
