Group no,Item_Number_1,Item_Number_2,Item_Number_3,Item_Number_4
12797,143261986,142350825,142880247,141735783
12798,143261985,142350824,142880230,141735782
12799,143261801,142350753,142880229,141735781
12801,143261800,142350752,142880228,141735780
12802,143261799,142350751,142880227,141735776
12803,143261798,142350750,142880226,141735775
12804,143261775,142350749,142880222,141735774
12805,143261774,142350748,142880221,141735773
12806,143261604,142350747,142880220,141735772
12807,143261603,142350719,142880219,141735771
12808,143261602,142350633,142880218,141735770
12809,143261601,142350631,142879956,141735769
12810,143261600,142350630,142879954,141735767
12811,143261599,142350629,142879953,141735766
12812,143261598,142350628,142879948,141735764
12813,143261597,142350627,142879653,141735763
12814,143261566,142350626,142879652,141735759
12815,143261565,142350624,142879165,141735758
12816,143261564,142350460,142879164,141735757
12817,143261224,142350459,142879163,141735756
12818,143261223,142350458,142879162,141735755
12819,143261222,142350457,142879153,141735754
12820,143261206,142350456,142879152,141735753
12821,143261205,142350454,142879151,141735752
12822,143261204,142350453,142879150,141735751
12823,143261203,142350452,142879118,141735750
12824,143261202,142350451,142879117,141735749
12826,143261201,142350435,142879116,141735684
12828,143261200,142350434,142879115,141735683
12829,143261142,142350413,142879114,141735682
12830,143261141,142350405,142879105,141735681
12833,143261140,142350322,142878816,141735680
12834,143261139,142350321,142878815,141735679
12835,143261138,142350320,142878814,141735678
12836,143261137,142350190,142878812,141735677
12837,143261136,142350168,142878811,141735676
12838,143261135,142350167,142878809,141735574
12839,143261134,142350166,142878807,141735573
12840,143261065,142350055,142878805,141735572
12841,143261064,142350054,142878803,141735571
12842,143261037,142350028,142878802,141735570
12843,143260883,142350026,142878801,141735569
12844,143260882,142350025,142878800,141735568
12845,143260858,142350024,142878799,141735551
12846,143260845,142350016,142878797,141735550
12847,143260760,142349989,142878796,141735549
12848,143260759,142349988,142878788,141734174
12849,143260758,142349987,142878784,141734173
12850,143260757,142349986,142878754,141734172
12851,143260756,142349985,142878713,141734171
12852,143260755,142349984,142878712,141734170
12853,143260754,142349914,142878711,141734169
12854,143260753,142349912,142878490,141734167
12855,143260752,142349908,142878489,141734166
12856,143260392,142349906,142878488,141734165
12857,143260391,142349905,142878487,141734164
12858,143260390,142349901,142878486,141734163
12859,143260389,142349203,142878485,141734162
12860,143260388,142349202,142878484,141734161
12861,143260387,142349201,142878483,141734160
12862,143260386,142349200,142878482,141734159
12863,143260385,142349199,142878438,141734158
12864,143260378,142349198,142878432,141734157
12865,143260377,142349197,142878431,141734156
12866,143260376,142349196,142878430,141734155
12867,143260213,142349195,142878429,141734015
12868,143260211,142349194,142878428,141733806
12869,143260210,142349193,142845304,141733805
12870,143260209,142349192,142845232,141733804
12871,143260208,142349191,142845230,141733803
12872,143260207,142349190,142845192,141733536
12873,143260206,142349156,142845191,141733535
12874,143260205,142328953,142845190,141733534
12875,143260204,142328952,142845189,141733389
12876,143260203,142328910,142845188,141733388
12877,143260202,142328909,142845187,141733387
12878,143260201,142328908,142845186,141733386
12879,143260145,142328907,142845185,141733385
12880,143260144,142328906,142845184,141733384
12881,143260143,142328905,142845179,141733383
12882,143260142,142328904,142844925,141733382
12883,143260141,142328903,142844924,141733381
12884,143260128,142328902,142844923,141733380
12885,143260127,142328901,142844918,141733379
12886,143260109,142328900,142844905,141733378
